title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Life's Great Mysteries,radio,消失,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,A,
,radio,失踪,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,B,
,radio,自然灾害,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,C,
,radio,磁力,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,D,
,radio,闹鬼的,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,E,
,radio,通灵者,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,F,
,radio,受害者,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,G,
,radio,通道,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,H,
,radio,事件,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,I,
,radio,证据,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,J,
,radio,理论；说法,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,K,
,radio,神话,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,L,
,radio,恶作剧,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,M,
,radio,阴森可怕的,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,N,
,radio,怪异的,vanish,disappearance,natural disaster,magnetic force,haunted,medium,victim,passage,incident,evidence,theory,myth,practical joke,spooky,bizarre,O,
