title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Shopping Therapy,radio,购物,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,A,
,radio,礼物,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,B,
,radio,生日,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,C,
,radio,百货公司,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,D,
,radio,顾客,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,E,
,radio,店员,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,F,
,radio,价格,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,G,
,radio,现金,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,H,
,radio,收据,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,I,
,radio,袋子,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,J,
,radio,礼物,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,K,
,radio,衣服,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,L,
,radio,T恤,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,M,
,radio,夹克,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,N,
,radio,鞋子,shopping,present,birthday,department store,customer,shop assistant,price,cash,receipt,bag,gift,clothes,T-shirt,jacket,shoes,O,
