title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
The World of Sport,radio,胜利者,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,A,
,radio,冠军,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,B,
,radio,锦标赛,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,C,
,radio,体育场,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,D,
,radio,训练,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,E,
,radio,转会,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,F,
,radio,赞助,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,G,
,radio,专业人士,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,H,
,radio,娱乐,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,I,
,radio,社会,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,J,
,radio,要求高的,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,K,
,radio,身体上的,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,L,
,radio,天赋,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,M,
,radio,奖牌,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,N,
,radio,付款,winner,champion,tournament,stadium,training,transfer,sponsorship,professional,entertainment,society,demanding,physical,talent,medal,payment,O,
