title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Where on earth?,radio,地球,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,A,
,radio,地方,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,B,
,radio,建筑物,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,C,
,radio,地点；遗址,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,D,
,radio,大陆,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,E,
,radio,非洲,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,F,
,radio,亚洲,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,G,
,radio,欧洲,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,H,
,radio,澳洲,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,I,
,radio,首都,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,J,
,radio,国家,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,K,
,radio,语言,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,L,
,radio,文化,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,M,
,radio,传统,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,N,
,radio,习俗,earth,place,building,site,continent,Africa,Asia,Europe,Australia,capital city,nation,language,culture,tradition,custom,O,
