title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Crime,radio,罪案,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,A,
,radio,侦探,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,B,
,radio,警察,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,C,
,radio,监狱,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,D,
,radio,罪犯,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,E,
,radio,小偷,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,F,
,radio,强盗,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,G,
,radio,谋杀,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,H,
,radio,报案人；投诉人,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,I,
,radio,目击者,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,J,
,radio,线索,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,K,
,radio,嫌疑犯,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,L,
,radio,案件,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,M,
,radio,法庭,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,N,
,radio,法官,crime,detective,police,prison,criminal,thief,robber,murder,complainant,witness,clue,suspect,case,court,judge,O,
