title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Happy to help!,radio,帮助,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,A,
,radio,社区,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,B,
,radio,问题,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,C,
,radio,解决方法,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,D,
,radio,慈善机构,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,E,
,radio,志愿者,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,F,
,radio,组织,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,G,
,radio,标志,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,H,
,radio,联合国儿童基金会,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,I,
,radio,世界自然基金会,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,J,
,radio,无家可归的,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,K,
,radio,乞讨,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,L,
,radio,支持,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,M,
,radio,捐款,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,N,
,radio,筹款,help,community,problem,solution,charity,volunteer,organisation,logo,UNICEF,WWF,homeless,beg,support,donation,fundraising,O,
