title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
A Hard Day's Work,radio,工作,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,A,
,radio,工作,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,B,
,radio,职业生涯,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,C,
,radio,老师,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,D,
,radio,医生,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,E,
,radio,护士,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,F,
,radio,工程师,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,G,
,radio,厨师,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,H,
,radio,技工,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,I,
,radio,秘书,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,J,
,radio,办公室,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,K,
,radio,工厂,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,L,
,radio,雇主,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,M,
,radio,雇员,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,N,
,radio,老板,job,work,career,teacher,doctor,nurse,engineer,chef,mechanic,secretary,office,factory,employer,employee,boss,O,
