title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
High-Tech World,radio,科技,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,A,
,radio,电力,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,B,
,radio,发明,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,C,
,radio,设备,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,D,
,radio,电脑,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,E,
,radio,网站,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,F,
,radio,相机,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,G,
,radio,照片,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,H,
,radio,线上,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,I,
,radio,屏幕,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,J,
,radio,太阳能,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,K,
,radio,风能,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,L,
,radio,核能,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,M,
,radio,绿色能源,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,N,
,radio,混合动力车,technology,electricity,invention,device,computer,website,camera,photo,online,screen,solar power,wind power,nuclear power,green energy,hybrid vehicle,O,
