title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
The Media,radio,媒体,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,A,
,radio,报纸,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,B,
,radio,杂志,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,C,
,radio,漫画,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,D,
,radio,新闻网站,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,E,
,radio,电台,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,F,
,radio,电视,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,G,
,radio,记者,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,H,
,radio,编辑,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,I,
,radio,标题,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,J,
,radio,文章,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,K,
,radio,报道,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,L,
,radio,记者会,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,M,
,radio,照片,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,N,
,radio,镜头,media,newspaper,magazine,comic,news website,radio,television,journalist,editor,headline,article,report,press conference,photograph,lens,O,
