title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
The Environment,radio,塑料,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,A,
,radio,气候,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,B,
,radio,能源,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,C,
,radio,电力；能量,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,D,
,radio,交通,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,E,
,radio,全球暖化,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,F,
,radio,温室气体,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,G,
,radio,二氧化碳,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,H,
,radio,砍伐森林,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,I,
,radio,濒危物种,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,J,
,radio,保护,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,K,
,radio,栖息地,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,L,
,radio,生态系统,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,M,
,radio,可持续的,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,N,
,radio,可再生的,plastic,climate,energy,power,traffic,global warming,greenhouse gas,carbon dioxide,deforestation,endangered species,conservation,habitat,ecosystem,sustainable,renewable,O,
