title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Shopping Therapy,radio,品牌,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,A,
,radio,品质,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,B,
,radio,广告,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,C,
,radio,消费者,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,D,
,radio,投诉,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,E,
,radio,保证,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,F,
,radio,逛街看商品,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,G,
,radio,冲动购物,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,H,
,radio,零售商,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,I,
,radio,商品,brand,quality,advertisement,consumer,complaint,guarantee,window-shopping,impulse buying,retailer,merchandise,J,
