title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
The World of Sport,radio,运动,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,A,
,radio,运动员,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,B,
,radio,足球,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,C,
,radio,网球,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,D,
,radio,高尔夫球,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,E,
,radio,壁球,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,F,
,radio,飞镖,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,G,
,radio,羽毛球,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,H,
,radio,撑竿跳高,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,I,
,radio,比赛,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,J,
,radio,队伍,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,K,
,radio,教练,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,L,
,radio,球员,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,M,
,radio,得分,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,N,
,radio,进球,sport,athlete,football,tennis,golf,squash,darts,badminton,pole vaulting,match,team,coach,player,score,goal,O,
