title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
A Hard Day's Work,radio,同事,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,A,
,radio,薪水,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,B,
,radio,轮班,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,C,
,radio,加班,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,D,
,radio,制服,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,E,
,radio,申请,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,F,
,radio,面试,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,G,
,radio,资格,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,H,
,radio,经验,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,I,
,radio,责任,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,J,
,radio,升职,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,K,
,radio,退休,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,L,
,radio,辞职,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,M,
,radio,失业的,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,N,
,radio,临时的,colleague,salary,shift,overtime,uniform,application,interview,qualification,experience,responsibility,promotion,retire,resign,unemployed,temporary,O,
