title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Where on earth?,radio,联合国教科文组织,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,A,
,radio,遗产,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,B,
,radio,自然美景,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,C,
,radio,地质特征,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,D,
,radio,杰作,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,E,
,radio,多样性,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,F,
,radio,灵感,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,G,
,radio,代表；表现,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,H,
,radio,保护区,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,I,
,radio,价值观,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,J,
,radio,族群,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,K,
,radio,母语,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,L,
,radio,官方语言,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,M,
,radio,母语者,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,N,
,radio,双重国籍,UNESCO,heritage,natural beauty,geological feature,masterpiece,diversity,inspiration,representation,sanctuary,values,ethnic group,mother tongue,official language,native speaker,dual nationality,O,
