title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
The World of Sport,radio,表现,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,A,
,radio,成就,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,B,
,radio,竞赛,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,C,
,radio,出场；出现,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,D,
,radio,合作关系,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,E,
,radio,运动员精神,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,F,
,radio,观众,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,G,
,radio,裁判,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,H,
,radio,破纪录的,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,I,
,radio,天文数字的,performance,achievement,competition,appearance,partnership,sportsmanship,spectator,referee,record-breaking,astronomical,J,
