title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Shopping Therapy,radio,尺码,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,A,
,radio,颜色,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,B,
,radio,减价销售,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,C,
,radio,折扣,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,D,
,radio,便宜货,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,E,
,radio,昂贵的,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,F,
,radio,便宜的,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,G,
,radio,负担得起,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,H,
,radio,更换,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,I,
,radio,退款,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,J,
,radio,订购,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,K,
,radio,运送,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,L,
,radio,试穿,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,M,
,radio,合身,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,N,
,radio,时尚的,size,colour,sale,discount,bargain,expensive,cheap,afford,exchange,refund,order,shipping,try on,fit,fashionable,O,
