title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Crime,radio,律师,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,A,
,radio,逮捕,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,B,
,radio,逃跑,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,C,
,radio,偷,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,D,
,radio,闯入,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,E,
,radio,入屋盗窃,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,F,
,radio,证明；证据,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,G,
,radio,指纹,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,H,
,radio,不在场证明,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,I,
,radio,判刑,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,J,
,radio,惩罚,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,K,
,radio,有罪的,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,L,
,radio,无罪的,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,M,
,radio,调查,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,N,
,radio,审问,lawyer,arrest,escape,steal,break into,burglary,proof,fingerprint,alibi,sentence,punishment,guilty,innocent,investigation,interrogate,O,
