title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Getting Away,radio,导游,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,A,
,radio,海滩,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,B,
,radio,博物馆,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,C,
,radio,纪念品,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,D,
,radio,预订,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,E,
,radio,住宿,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,F,
,radio,目的地,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,G,
,radio,行程表,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,H,
,radio,出发,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,I,
,radio,抵达,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,J,
,radio,延误的,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,K,
,radio,取消的,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,L,
,radio,海关,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,M,
,radio,签证,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,N,
,radio,背包,guide,beach,museum,souvenir,reservation,accommodation,destination,itinerary,departure,arrival,delayed,cancelled,customs,visa,backpack,O,
