title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
It's Personal!,radio,家庭,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,A,
,radio,父母,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,B,
,radio,兄弟,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,C,
,radio,姐妹,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,D,
,radio,亲戚,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,E,
,radio,堂/表兄弟姐妹,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,F,
,radio,祖父母,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,G,
,radio,假期,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,H,
,radio,家,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,I,
,radio,房间,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,J,
,radio,收养家庭,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,K,
,radio,重组家庭,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,L,
,radio,大家庭,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,M,
,radio,单亲家庭,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,N,
,radio,传统家庭,family,parent,brother,sister,relative,cousin,grandparent,holiday,home,room,adoptive family,blended family,extended family,single-parent family,traditional family,O,
