title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
The Environment,radio,环境,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,A,
,radio,水,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,B,
,radio,空气,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,C,
,radio,土地,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,D,
,radio,森林,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,E,
,radio,河流,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,F,
,radio,海洋,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,G,
,radio,动物,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,H,
,radio,植物,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,I,
,radio,垃圾,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,J,
,radio,污染,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,K,
,radio,废物,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,L,
,radio,回收,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,M,
,radio,再使用,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,N,
,radio,减少,environment,water,air,land,forest,river,sea,animal,plant,rubbish,pollution,waste,recycle,reuse,reduce,O,
