title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Happy to help!,radio,活动；运动,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,A,
,radio,意识,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,B,
,radio,残障的,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,C,
,radio,年长的,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,D,
,radio,养老院,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,E,
,radio,青年中心,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,F,
,radio,送购物品,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,G,
,radio,社会课题,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,H,
,radio,采取行动,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,I,
,radio,保护权利,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,J,
,radio,生存,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,K,
,radio,教育,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,L,
,radio,吸引；呼吁,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,M,
,radio,措施,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,N,
,radio,积极回应,campaign,awareness,disabled,elderly,nursing home,youth centre,deliver shopping,social issue,take action,protect rights,survive,education,appeal,measure,react positively,O,
