title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Crime,radio,承认罪行,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,A,
,radio,指控,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,B,
,radio,起诉,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,C,
,radio,诈骗,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,D,
,radio,绑架,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,E,
,radio,勒索,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,F,
,radio,店内偷窃,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,G,
,radio,蓄意破坏,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,H,
,radio,社区服务令,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,I,
,radio,终身监禁,confess,accuse,prosecute,fraud,kidnap,blackmail,shoplifting,vandalism,community service,life imprisonment,J,
