title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Where on earth?,radio,非语言沟通,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,A,
,radio,方言,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,B,
,radio,文明,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,C,
,radio,保护；保存,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,D,
,radio,保存；保护,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,E,
,radio,重要的,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,F,
,radio,文化环境,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,G,
,radio,交流访问,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,H,
,radio,适应,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,I,
,radio,欣赏；感激,non-verbal communication,dialect,civilisation,conserve,preserve,significant,cultural environment,exchange visit,adapt,appreciate,J,
